,x,y,z
0,83.375486,12.617831,0.0
1,119.624874,12.589345,0.0
2,175.584888,20.755006,0.0
3,208.002227,20.755006,0.0
4,183.348358,24.795982,0.0
5,207.62865,24.795982,0.0
6,19.648004,100.032021,0.0
7,26.413497,102.212558,0.0
8,83.312347,15.367483,0.0
9,120.187766,15.338506,0.0
10,192.187408,45.169042,0.1875
11,185.762379,3.28125,1.375
12,173.44102,36.677064,0.0
13,17.247844,78.573986,0.0
14,25.486634,90.792408,0.0
15,15.183208,79.98377,0.0
16,25.749777,95.654372,0.0
17,31.233252,102.272035,0.0
18,47.196416,91.263871,0.1875
19,49.670813,76.975816,0.0
20,42.99599,59.57275,0.0
21,16.718759,52.031447,0.0
22,16.660853,70.625146,0.0
23,158.014731,26.279414,0.0
24,161.705134,29.167462,0.0
25,116.45094,6.591151,0.4375
26,131.402706,9.168381,0.0
27,147.936,3.28125,1.375
28,169.375,7.28125,1.75
29,186.0,7.28125,1.75
30,147.936,4.682824,1.375
31,100.811343,22.844827,0.0
32,121.940762,22.839913,0.0
33,120.875075,18.096053,0.0
34,89.562546,18.120659,0.0
35,97.239659,4.682824,0.5625
36,102.58173,5.260676,0.4375
37,73.625,3.28125,0.5
38,83.377454,3.28125,0.5725
39,97.249,3.28125,0.57899
40,131.375358,3.28125,0.0
41,136.624796,3.28125,1.375
42,137.063437,12.24208,0.1875
43,102.588917,6.662232,0.4375
44,83.249458,6.715371,0.4375
45,68.562553,12.629471,0.0
46,68.342069,15.379247,0.0
47,40.83028,56.567154,0.0
48,36.367776,50.374044,0.1875
49,5.802878,70.496829,0.0
50,16.861932,98.228677,0.1875
51,48.481498,6.503036,0.375
52,35.644963,14.314184,0.375
53,59.762795,4.682824,0.5
54,34.838687,13.346127,0.375
55,25.054145,22.29755,0.0
56,16.75,42.0,0.0
57,19.191225,60.876374,0.0
58,19.160086,70.875124,0.0
59,18.090166,52.039884,0.0
60,32.813694,11.132667,0.5
61,23.029153,20.08409,0.0
62,59.762795,3.28125,0.5
63,12.286413,29.41432,0.1875
64,7.151336,42.975372,0.1875
65,42.334707,54.068881,0.1897
66,39.197775,39.911522,0.18529
67,203.858308,48.589287,0.0
68,189.39417,47.559791,0.0
69,45.974824,27.091899,0.1875
70,50.930431,76.951557,0.0
71,54.274109,19.948459,0.0
72,68.391926,16.638111,0.0
73,37.938393,39.945935,0.1875
74,7.379028,49.944113,0.0625
75,10.123818,61.006386,0.0625
76,4.5,56.625,0.1875
77,6.000199,42.773121,0.0
78,147.510815,16.798398,0.0
79,157.37171,19.113151,0.0
80,8.732311,61.174071,0.0625
81,5.762921,35.915546,0.0
82,4.598661,42.763146,0.1875
83,9.010811,26.424385,0.0
84,13.415919,13.551544,0.0
85,9.009351,19.275412,0.0
86,11.195953,12.885605,0.0
87,7.684732,25.970599,0.0
88,180.0625,42.9375,0.0
89,172.570667,37.775652,0.1875
90,44.992855,26.302619,0.17668
91,46.32841,24.767014,0.0
92,79.561676,18.906245,0.0
93,79.669567,17.50883,0.0
94,61.963579,22.853863,1.0
95,89.500139,22.847458,1.0
96,89.499813,21.445884,0.0
97,189.068107,48.776717,0.0
98,181.426809,46.408051,0.0
99,171.037758,41.720263,0.0
100,166.329478,38.694912,0.0
101,151.890399,34.486165,0.0
102,142.807812,27.600356,0.0
103,170.622775,43.058994,0.0
104,156.623966,32.719063,0.0
105,157.5,31.625,0.0
106,151.564776,26.872567,0.0
107,222.706694,28.530352,0.0
108,222.904974,19.669084,0.0
109,224.9375,0.747886,0.0
110,224.9375,12.625,0.0
111,224.28361,19.921618,0.0
112,222.4375,0.747886,0.0
113,222.4375,12.625,0.0
114,142.104835,28.812888,0.0
115,198.642858,7.28125,0.0
116,146.796797,18.004461,0.0
117,156.865683,20.420189,0.0
118,160.645133,21.878209,0.0
119,170.506027,24.192963,0.0
120,170.0,25.5,0.0
121,197.887949,36.296981,0.0
122,5.046875,100.625,0.0
123,5.046875,88.225805,0.0
124,4.401339,70.486854,0.1875
